country,province,top_ten,style,color,sweetness,points,price,count
Austria,Kamptal,False,Varietal,White,Bone-Dry,94,36,1
United States of America,California,True,Blend,Red,Bone-Dry,86,40,15
Argentina,Mendoza Province,True,Blend,White,Bone-Dry,90,33,1
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,87,30,4
Germany,Rheinhessen,False,Blend,White,Bone-Dry,92,37,1
Greece,Santorini,False,Varietal,,Bone-Dry,89,20,1
United States of America,California,True,Varietal,White,Dry,88,18,15
United States of America,California,True,Varietal,Red,Dry,88,58,1
United States of America,Washington,True,Varietal,Red,Sweet,91,65,1
France,Provence,False,Blend,Rosé,Bone-Dry,88,14,4
France,Champagne,False,Sparkling,White,Dry,95,90,1
France,Southwest France,False,Blend,Rosé,Bone-Dry,84,12,1
United States of America,New York,True,Varietal,Red,Sweet,88,23,2
Spain,Catalonia,False,Sparkling,White,Sweet,83,9,1
United States of America,California,True,Varietal,Red,Bone-Dry,89,26,18
Chile,Chile,False,Varietal,White,Bone-Dry,84,11,2
United States of America,New York,True,Sparkling,White,Dry,87,22,1
Chile,Maipo Valley,False,Varietal,Red,Dry,87,25,1
Italy,Sicily & Sardinia,False,Blend,Red,Bone-Dry,90,42,1
France,Provence,False,Varietal,Rosé,Bone-Dry,84,27,1
Italy,Lombardy,False,Sparkling,Rosé,Bone-Dry,88,24,1
Portugal,Tejo,False,Sparkling,White,Dry,85,16,1
Portugal,Douro,False,Varietal,White,Very Sweet,91,16,1
Italy,Veneto,False,Varietal,White,Bone-Dry,93,29,2
New Zealand,Martinborough,False,Varietal,Red,Bone-Dry,91,40,2
France,Loire Valley,False,Varietal,Red,Bone-Dry,85,30,1
Austria,Vienna,False,Blend,Red,Bone-Dry,90,40,1
France,Rhône Valley,False,Blend,Red,Bone-Dry,89,41,1
Portugal,Dão,False,Varietal,Red,Bone-Dry,95,72,1
Portugal,Alentejano,False,Varietal,White,Very Sweet,88,16,1
Austria,Südsteiermark,False,Varietal,White,Bone-Dry,91,23,1
Italy,Piedmont,True,Varietal,Red,Dry,87,80,1
New Zealand,Marlborough,False,Varietal,White,Dry,83,22,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,92,46,1
United States of America,New York,True,Varietal,White,Bone-Dry,88,30,2
Chile,Colchagua Valley,False,Varietal,Red,Sweet,85,50,1
United States of America,Oregon,True,Varietal,White,Dry,90,20,1
United States of America,Washington,True,Varietal,,Bone-Dry,90,50,1
United States of America,Washington,True,Varietal,White,Bone-Dry,85,14,2
France,Champagne,False,Sparkling,White,Dry,87,46,2
Italy,Lombardy,False,Varietal,White,Bone-Dry,90,40,2
Spain,Northern Spain,True,Varietal,Red,Bone-Dry,94,50,1
United States of America,Washington,True,Varietal,White,Dry,85,24,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,91,16,1
Chile,Maule Valley,False,Varietal,,Bone-Dry,91,45,1
Australia,South Australia,False,Varietal,Red,Bone-Dry,91,27,1
Australia,New South Wales,False,Varietal,Red,Bone-Dry,92,25,1
United States of America,California,True,Blend,White,Dry,90,24,1
France,Southwest France,False,Varietal,,Bone-Dry,92,40,1
United States of America,New York,True,Varietal,White,Sweet,89,25,4
Germany,Mosel-Saar-Ruwer,False,Varietal,Red,Dry,88,24,1
France,Beaujolais,False,Varietal,Rosé,Bone-Dry,85,12,3
United States of America,Michigan,False,Blend,White,Sweet,86,14,1
Portugal,Douro,False,Varietal,Red,Bone-Dry,90,30,1
United States of America,Oregon,True,Varietal,Red,Bone-Dry,91,150,1
Germany,Rheingau,False,Varietal,White,Dry,92,69,2
Italy,Tuscany,True,Varietal,,Bone-Dry,88,27,1
United States of America,California,True,Varietal,Red,Dry,97,150,1
France,Alsace,False,Varietal,White,Bone-Dry,92,62,1
United States of America,California,True,Varietal,White,Sweet,86,17,8
Spain,Northern Spain,True,Blend,Red,Bone-Dry,84,53,1
Italy,Southern Italy,False,Varietal,,Bone-Dry,87,25,3
United States of America,California,True,Varietal,Red,Bone-Dry,86,39,12
France,Bordeaux,True,Blend,Red,Dry,96,1200,1
Chile,Casablanca Valley,False,Varietal,White,Bone-Dry,90,36,1
France,Beaujolais,False,Varietal,Red,Bone-Dry,85,28,1
United States of America,New York,True,Varietal,Red,Dry,83,18,1
France,Champagne,False,Sparkling,White,Dry,93,135,1
United States of America,Oregon,True,Varietal,White,Off-Dry,89,20,2
Italy,Sicily & Sardinia,False,Varietal,Red,Bone-Dry,85,30,1
Spain,Catalonia,False,Varietal,White,Bone-Dry,82,20,1
Portugal,Colares,False,Varietal,White,Bone-Dry,88,30,1
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,85,15,8
France,Bordeaux,True,Blend,Red,Dry,88,33,1
Bulgaria,Black Sea Coastal,False,Varietal,,Dry,86,10,1
Italy,Lombardy,False,Varietal,Red,Bone-Dry,90,54,1
United States of America,California,True,Blend,Red,Dry,89,45,3
Portugal,Port,False,Varietal,Red,Very Sweet,90,24,1
France,Bordeaux,True,Varietal,Rosé,Bone-Dry,86,20,3
Italy,Veneto,False,Varietal,Red,Sweet,88,44,1
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,91,13,2
Hungary,Villány,False,Blend,Red,Bone-Dry,85,48,1
Argentina,Other,False,Varietal,Red,Bone-Dry,81,15,2
Portugal,Alentejo,False,Varietal,White,Very Sweet,90,19,2
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,80,18,1
Italy,Sicily & Sardinia,False,Blend,Red,Bone-Dry,92,28,2
Portugal,Douro,False,Varietal,Rosé,Bone-Dry,86,30,1
Austria,Wagram,False,Blend,Red,Bone-Dry,92,30,1
Australia,Victoria,False,Varietal,White,Bone-Dry,86,17,1
Chile,Casablanca Valley,False,Varietal,White,Sweet,86,12,1
Italy,Southern Italy,False,Varietal,,Sweet,87,15,6
United States of America,Washington,True,Blend,Red,Sweet,91,80,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,86,27,1
Chile,Bío Bío Valley,False,Varietal,White,Bone-Dry,88,24,1
United States of America,New York,True,Varietal,Red,Sweet,82,17,1
Australia,Western Australia,False,Varietal,White,Bone-Dry,89,37,1
United States of America,California,True,Varietal,Red,Dry,91,34,8
Portugal,Alentejano,False,Varietal,Red,Sweet,87,13,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,92,92,1
United States of America,Oregon,True,Varietal,Red,Bone-Dry,86,55,4
Spain,Catalonia,False,Blend,Red,Bone-Dry,84,13,1
Spain,Central Spain,False,Varietal,Red,Bone-Dry,84,28,1
United States of America,Arizona,False,Varietal,Red,Bone-Dry,88,45,1
United States of America,Oregon,True,Varietal,White,Sweet,92,20,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,95,50,1
United States of America,California,True,Varietal,,Dry,85,36,1
Chile,Curicó Valley,False,Varietal,Red,Bone-Dry,83,9,1
France,Burgundy,True,Varietal,White,Bone-Dry,87,43,1
France,Languedoc-Roussillon,False,Varietal,Red,Bone-Dry,81,7,1
Portugal,Ribatejano,False,Varietal,Red,Bone-Dry,86,10,1
France,Rhône Valley,False,Varietal,Red,Bone-Dry,91,35,1
South Africa,Stellenbosch,False,Blend,Red,Bone-Dry,90,35,1
Italy,Central Italy,False,Varietal,Red,Bone-Dry,89,38,1
Austria,Wachau,False,Varietal,White,Dry,93,38,1
Italy,Tuscany,True,Varietal,Red,Sweet,87,30,3
United States of America,California,True,Varietal,,Bone-Dry,92,16,2
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,91,29,1
Greece,Attica,False,Varietal,White,Bone-Dry,90,22,1
Austria,Kremstal,False,Varietal,White,Dry,91,45,1
France,Bordeaux,True,Blend,Red,Sweet,88,20,1
France,Alsace,False,Sparkling,White,Dry,89,20,3
Italy,Tuscany,True,Blend,Red,Bone-Dry,90,48,4
Australia,South Australia,False,Varietal,White,Bone-Dry,87,10,2
Australia,South Australia,False,Varietal,,Bone-Dry,90,28,1
United States of America,California,True,Varietal,Red,Bone-Dry,87,95,2
Portugal,Douro,False,Blend,White,Very Sweet,81,10,1
Chile,Maipo Valley,False,Varietal,White,Bone-Dry,87,10,2
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,92,85,1
Italy,Northeastern Italy,False,Blend,White,Bone-Dry,88,37,2
United States of America,California,True,Varietal,White,Bone-Dry,80,20,1
South Africa,Darling,False,Varietal,White,Bone-Dry,87,15,1
South Africa,Coastal Region,False,Varietal,White,Off-Dry,86,11,1
Spain,Northern Spain,True,Blend,Red,Bone-Dry,89,49,1
United States of America,Idaho,False,Varietal,,Bone-Dry,88,35,1
United States of America,California,True,Blend,White,Off-Dry,87,12,1
United States of America,Oregon,True,Varietal,White,Bone-Dry,85,16,5
United States of America,Idaho,False,Varietal,Red,Bone-Dry,89,30,3
Chile,Casablanca Valley,False,Varietal,White,Bone-Dry,87,70,1
France,Beaujolais,False,Varietal,White,Bone-Dry,85,17,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,96,195,1
Italy,Sicily & Sardinia,False,Blend,Red,Sweet,86,22,1
Chile,Central Valley,False,Varietal,Red,Bone-Dry,85,14,2
United States of America,California,True,Varietal,Red,Dry,95,140,1
Austria,Niederösterreich,False,Varietal,White,Bone-Dry,86,24,1
Chile,Casablanca Valley,False,Varietal,White,Bone-Dry,87,22,3
United States of America,Washington,True,Varietal,Red,Sweet,89,30,3
Chile,Casablanca Valley,False,Varietal,White,Sweet,82,12,1
France,Bordeaux,True,Blend,Red,Bone-Dry,92,29,5
United States of America,Washington,True,Varietal,Red,Sweet,88,35,3
Italy,Piedmont,True,Varietal,White,Bone-Dry,84,14,1
France,Bordeaux,True,Blend,Red,Dry,85,20,9
Portugal,Bucelas,False,Varietal,,Bone-Dry,87,12,1
Canada,Ontario,False,Varietal,White,Off-Dry,90,25,1
France,Rhône Valley,False,Blend,Red,Bone-Dry,88,12,6
United States of America,Washington,True,Varietal,Red,Bone-Dry,81,20,1
France,Rhône Valley,False,Blend,Red,Bone-Dry,88,25,3
Austria,Kamptal,False,Varietal,White,Dry,93,22,3
Italy,Veneto,False,Blend,Red,Sweet,88,32,1
United States of America,Washington,True,Varietal,Red,Sweet,85,36,1
Australia,Western Australia,False,Varietal,Red,Bone-Dry,87,18,1
United States of America,Washington,True,Varietal,,Sweet,85,25,1
France,Bordeaux,True,Blend,White,Bone-Dry,84,13,7
France,Alsace,False,Varietal,White,Dry,93,46,2
Argentina,Mendoza Province,True,Varietal,White,Sweet,88,39,1
United States of America,California,True,Varietal,Red,Dry,96,48,1
France,Bordeaux,True,Blend,Red,Dry,88,67,1
France,Bordeaux,True,Blend,Red,Bone-Dry,86,36,1
Argentina,Mendoza Province,True,Varietal,Red,Sweet,92,120,1
Austria,Leithaberg,False,Varietal,White,Bone-Dry,93,65,1
Chile,Central Valley,False,Varietal,Red,Bone-Dry,82,10,1
Argentina,Mendoza Province,True,Varietal,Red,Dry,91,135,1
Italy,Veneto,False,Varietal,,Bone-Dry,85,15,1
Argentina,Other,False,Varietal,Red,Bone-Dry,84,12,1
Italy,Central Italy,False,Varietal,White,Bone-Dry,94,57,2
Spain,Catalonia,False,Blend,Red,Bone-Dry,85,18,5
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,92,110,2
France,Alsace,False,Varietal,White,Bone-Dry,88,15,5
Spain,Northern Spain,True,Varietal,Red,Bone-Dry,92,49,2
United States of America,Washington,True,Varietal,Red,Dry,89,55,1
Australia,South Australia,False,Varietal,White,Bone-Dry,92,25,1
Chile,Leyda Valley,False,Varietal,White,Bone-Dry,88,13,1
Chile,Maule Valley,False,Varietal,Red,Bone-Dry,87,14,2
Australia,Tasmania,False,Varietal,White,Bone-Dry,94,60,1
South Africa,Stellenbosch,False,Varietal,,Bone-Dry,84,18,1
United States of America,California,True,Varietal,White,Bone-Dry,95,65,6
Italy,Tuscany,True,Varietal,Red,Bone-Dry,90,24,4
Italy,Lombardy,False,Sparkling,White,Bone-Dry,92,40,1
South Africa,Paarl,False,Varietal,White,Bone-Dry,86,16,1
France,Languedoc-Roussillon,False,Varietal,Red,Bone-Dry,87,13,5
United States of America,California,True,Blend,,Bone-Dry,92,39,1
Austria,Weinviertel,False,Varietal,White,Dry,88,21,2
Italy,Central Italy,False,Sparkling,Red,Bone-Dry,84,15,1
Austria,Burgenland,False,Blend,Red,Bone-Dry,91,59,1
Austria,Burgenland,False,Blend,Red,Dry,89,50,1
France,Bordeaux,True,Blend,Red,Bone-Dry,84,12,16
France,Loire Valley,False,Varietal,Rosé,Dry,85,28,1
France,France Other,False,Varietal,Red,Sweet,88,33,2
Spain,Northern Spain,True,Blend,Red,Sweet,84,13,1
Austria,Südsteiermark,False,Varietal,,Bone-Dry,89,23,1
Portugal,Douro,False,Varietal,,Dry,95,40,1
United States of America,California,True,Varietal,,Sweet,85,11,1
France,Rhône Valley,False,Blend,White,Bone-Dry,85,63,1
Germany,Mosel,False,Varietal,White,Sweet,88,16,2
Italy,Tuscany,True,Varietal,Red,Bone-Dry,89,28,15
United States of America,California,True,Blend,Red,Sweet,94,42,2
